Model,MCC,Precision,Recall,F1,MAE (bp),Exact Start %
Baseline 3-State HMM (Chr I),0.2019,,,,147.43,0.0
v1 (PWM only),0.4809287413764653,0.360136697155493,0.9453825857519789,0.521580901084504,14.738786279683378,78.89182058047494
v2 (PWM + Length Gate),0.5191578233041898,0.42347055971006353,0.8755672823218997,0.5708486005745643,25.211081794195252,77.30870712401055
