label,accuracy,precision,recall,f1,mcc,mae,exact_rate,specificity,balanced_accuracy,species
baseline,0.2729007633587786,0.05925925925925926,1.0,0.11188811188811189,0.11875901525233233,24.25,0.7916666666666666,0.238,0.619,Human (Mammal - Held-out Region)
baseline,0.15789473684210525,0.008187134502923977,1.0,0.016241299303944315,0.035276684147527874,21.0,0.8571428571428571,0.152,0.576,Mouse (Mammal - Held-out Region)
baseline,0.48984771573604063,0.41739130434782606,1.0,0.588957055214724,0.28602219433493953,32.395833333333336,0.6649305555555556,0.196,0.598,Arabidopsis (Plant - Held-out Region)
baseline,0.5350089766606823,0.482,1.0,0.650472334682861,0.2948610485884556,37.86721991701245,0.6390041493775933,0.18037974683544303,0.5901898734177216,Yeast (Fungi - Unseen Clade)
baseline,0.491273432449903,0.41004497751124436,1.0,0.58160552897395,0.29553270582102253,34.053016453382085,0.6361974405850092,0.213,0.6065,Worm (Nematode - Unseen Clade)
baseline,0.5604463732176069,0.4636913767019667,1.0,0.6335917312661499,0.36733389527822274,34.62479608482871,0.6443719412724307,0.291,0.6455,GUE C. elegans Histone (Nematode)
