Model   , Accuracy           , Precision          , Recall            , F1-Score           , MCC                , Exact Rate        , Specificity         , Bal. Acc          , MAE
naive   , 0.283566393160416  , 0.2693626744878392 , 1.0               , 0.39132420014610086, 0.08011383571566254, 0.5035997575060845, 0.027719409282700416, 0.5138597046413502, 35.88510430736077
baseline, 0.41789533304418613, 0.30676234205387004, 1.0               , 0.43045934355495685, 0.23296425723708336, 0.705552268433352 , 0.21172995780590717 , 0.6058649789029534, 30.698477631426098
v1      , 0.46436236075014   , 0.3218270526459553 , 1.0               , 0.4455123343524459 , 0.2720881952175309 , 0.7742981362226621, 0.27519409282700424 , 0.637597046413502 , 14.828411835702545
v2      , 0.64283858283162   , 0.3868371826713904 , 0.8756774636473933, 0.49129046740675614, 0.3488270835968519 , 0.7331275013020271, 0.5439978902953587  , 0.709837676971376 , 24.148209779059346
v3      , 0.5834429472359891 , 0.3641888816556624 , 0.9553571428571429, 0.4844775036145441 , 0.35115104457876517, 0.8059799916026376, 0.4367594936708861  , 0.6960583182640144, 12.403658075336422
