Model,MCC,Precision,Recall,Specificity,F1,MAE (bp),Exact Start %
Baseline 3-State HMM (Chr I),0.2019,,,,,147.43,0.0
v1 (PWM only),0.29815237123193183,0.3493087557603687,1.0,0.25448785638859556,0.51775956284153,14.738786279683378,78.89182058047494
v2 (PWM + Length Gate),0.46622996468064926,0.4933135215453195,0.8759894459102903,0.6399155227032735,0.6311787072243346,25.211081794195252,77.30870712401055
